year,sitename,ID_CODE,country,Occupancy_Strix_uralensis_Slovenia,occupancy_other_occupant,other_occupant_notes,occupied,eggnumber,eggshatched,eggs_not_hatched,largeyoung,fledgedyoung,young_not_fledged,noise_mean,Rangeland_500,Trees_500,Built_up_500,D_nearest_anyroad,D_nearest_major,D_nearest_minor,buildings_prop,LP_mean,long,lat,,Legend:
2015,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,1,2,0,2,0,unknown,#VALUE!,85.11182383,0.001,0.758,0,1389.567399,1851.649829,1389.567399,0.502604612,0.25,24.17864,54.868396,,Rangeland_500: percentage of open land environment within owl average home range size
2016,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0.001,0.758,0,1389.567399,1851.649829,1389.567399,0.502604612,0,24.17864,54.868396,,Trees_500: percentage of wooded environment within owl average home range size
2017,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0.001,0.758,0,1389.567399,1851.649829,1389.567399,0.502604612,0.166666667,24.17864,54.868396,,Built_up_500: percentage of urban environment within owl average home range size
2018,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.76,0,1389.567399,1851.649829,1389.567399,0.502604612,0.083333333,24.17864,54.868396,,LP_mean: mean value of light pollution within owl average home range size
2019,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.759,0,1389.567399,1851.649829,1389.567399,0.502604612,0.333333333,24.17864,54.868396,,
2020,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,1,4,4,1,3,unknown,#VALUE!,85.11182383,0,0.76,0,1389.567399,1851.649829,1389.567399,0.502604612,0,24.17864,54.868396,,
2021,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.759,0,1389.567399,1851.649829,1389.567399,0.502604612,0.166666667,24.17864,54.868396,,
2022,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.759,0,1389.567399,1851.649829,1389.567399,0.502604612,0.516666671,24.17864,54.868396,,
2023,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.762,0,1389.567399,1851.649829,1389.567399,0.502604612,0.533333341,24.17864,54.868396,,
2011,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.428571429,24.180305,54.867864,,
2012,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,1,6,6,0,6,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.428571429,24.180305,54.867864,,
2013,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.142857143,24.180305,54.867864,,
2014,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.5,24.180305,54.867864,,
2015,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.285714286,24.180305,54.867864,,
2016,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.071428571,24.180305,54.867864,,
2013,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.083333333,24.177057,54.869711,,
2014,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,1,4,4,0,4,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.333333333,24.177057,54.869711,,
2015,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.416666667,24.177057,54.869711,,
2016,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.083333333,24.177057,54.869711,,
2017,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,1,3,3,0,3,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.166666667,24.177057,54.869711,,
2018,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.771,0,1399.65978,1761.18263,1399.65978,0.370095809,0.166666667,24.177057,54.869711,,
2019,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.77,0,1399.65978,1761.18263,1399.65978,0.370095809,0.416666667,24.177057,54.869711,,
2020,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.771,0,1399.65978,1761.18263,1399.65978,0.370095809,0,24.177057,54.869711,,
2021,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.77,0,1399.65978,1761.18263,1399.65978,0.370095809,0,24.177057,54.869711,,
2022,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.333333333,24.177057,54.869711,,
2013,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,0.516666681,24.186834,54.881807,,
2014,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,0.933333327,24.186834,54.881807,,
2015,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,1.766666651,24.186834,54.881807,,
2016,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,1.583333333,24.186834,54.881807,,
2017,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,1,1,0,1,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,4.200000048,24.186834,54.881807,,
2018,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.672,0,275.5790715,275.5790715,763.8684336,0.365028853,4.133333306,24.186834,54.881807,,
2019,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0.003,0.651,0.003,275.5790715,275.5790715,763.8684336,0.365028853,6.116666734,24.186834,54.881807,,
2020,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.68,0.003,275.5790715,275.5790715,763.8684336,0.365028853,3.349999974,24.186834,54.881807,,
2021,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,1,2,2,0,2,unknown,#VALUE!,84.81329231,0.001,0.685,0.001,275.5790715,275.5790715,763.8684336,0.365028853,1.600000034,24.186834,54.881807,,
2022,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.673,0.001,275.5790715,275.5790715,763.8684336,0.365028853,1.850000024,24.186834,54.881807,,
2023,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.657,0.001,275.5790715,275.5790715,763.8684336,0.365028853,1.366666694,24.186834,54.881807,,
2011,Gastiloniu_miskas_368_kv_A,LTU106,Lithuania,,,,1,4,4,0,4,unknown,#VALUE!,84.12945174,0.097,0.797,0,1178.549833,1178.549833,1293.686199,0.001382526,0.357142857,24.176179,54.875705,,
2012,Gastiloniu_miskas_368_kv_A,LTU106,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.12945174,0.097,0.797,0,1178.549833,1178.549833,1293.686199,0.001382526,0.357142857,24.176179,54.875705,,
2013,Gastiloniu_miskas_368_kv_A,LTU106,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.12945174,0.097,0.797,0,1178.549833,1178.549833,1293.686199,0.001382526,0.214285714,24.176179,54.875705,,
2012,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,1,6,6,0,6,unknown,#VALUE!,83.83918396,0.081,0.862,0,1277.563291,1277.563291,1390.753542,0,0.375,24.174681,54.875123,,
2013,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.83918396,0.081,0.862,0,1277.563291,1277.563291,1390.753542,0,0.1875,24.174681,54.875123,,
2014,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.83918396,0.081,0.862,0,1277.563291,1277.563291,1390.753542,0,0.1875,24.174681,54.875123,,
2015,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.83918396,0.081,0.862,0,1277.563291,1277.563291,1390.753542,0,0.5,24.174681,54.875123,,
2016,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.83918396,0.081,0.862,0,1277.563291,1277.563291,1390.753542,0,0.125,24.174681,54.875123,,
2017,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.83918396,0.081,0.862,0,1277.563291,1277.563291,1390.753542,0,0.375,24.174681,54.875123,,
2018,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.83918396,0.036,0.868,0,1277.563291,1277.563291,1390.753542,0,0.450000003,24.174681,54.875123,,
2019,Gastiloniu_miskas_368_kv_B,LTU107,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.83918396,0.052,0.872,0,1277.563291,1277.563291,1390.753542,0,0.475000009,24.174681,54.875123,,
2015,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.079,0.858,0,1187.684224,1187.684224,1386.275943,0,0.5,24.174747,54.875994,,
2016,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.079,0.858,0,1187.684224,1187.684224,1386.275943,0,0.166666667,24.174747,54.875994,,
2017,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.079,0.858,0,1187.684224,1187.684224,1386.275943,0,0.416666667,24.174747,54.875994,,
2018,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.036,0.864,0,1187.684224,1187.684224,1386.275943,0,0.433333337,24.174747,54.875994,,
2019,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.051,0.868,0,1187.684224,1187.684224,1386.275943,0,0.550000012,24.174747,54.875994,,
2020,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.055,0.867,0,1187.684224,1187.684224,1386.275943,0,0,24.174747,54.875994,,
2021,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.068,0.866,0,1187.684224,1187.684224,1386.275943,0,0.166666667,24.174747,54.875994,,
2022,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.009,0.866,0,1187.684224,1187.684224,1386.275943,0,0.350000004,24.174747,54.875994,,
2023,Gastiloniu_miskas_368_kv_C,LTU108,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.76302618,0.046,0.86,0,1187.684224,1187.684224,1386.275943,0,0.566666683,24.174747,54.875994,,
2011,Gastiloniu_miskas_366_kv_A,LTU103,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.69688719,0,0.918,0,453.1817671,453.1817671,1369.960291,0.026436724,0.650000016,24.177378,54.882558,,
2012,Gastiloniu_miskas_366_kv_A,LTU103,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.69688719,0,0.918,0,453.1817671,453.1817671,1369.960291,0.026436724,0.650000016,24.177378,54.882558,,
2013,Gastiloniu_miskas_366_kv_A,LTU103,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.69688719,0,0.918,0,453.1817671,453.1817671,1369.960291,0.026436724,0.450000008,24.177378,54.882558,,
2014,Gastiloniu_miskas_366_kv_A,LTU103,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.69688719,0,0.918,0,453.1817671,453.1817671,1369.960291,0.026436724,0.833333333,24.177378,54.882558,,
2015,Gastiloniu_miskas_366_kv_A,LTU103,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.69688719,0,0.918,0,453.1817671,453.1817671,1369.960291,0.026436724,1.833333353,24.177378,54.882558,,
2016,Gastiloniu_miskas_366_kv_A,LTU103,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.69688719,0,0.918,0,453.1817671,453.1817671,1369.960291,0.026436724,0.916666637,24.177378,54.882558,,
2011,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.918,0,423.1193069,423.1193069,1488.588631,0.035248966,0.650000016,24.175807,54.883279,,
2012,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.918,0,423.1193069,423.1193069,1488.588631,0.035248966,0.650000016,24.175807,54.883279,,
2013,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.918,0,423.1193069,423.1193069,1488.588631,0.035248966,0.450000008,24.175807,54.883279,,
2014,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.918,0,423.1193069,423.1193069,1488.588631,0.035248966,0.833333333,24.175807,54.883279,,
2015,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.918,0,423.1193069,423.1193069,1488.588631,0.035248966,1.833333353,24.175807,54.883279,,
2016,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.918,0,423.1193069,423.1193069,1488.588631,0.035248966,0.916666637,24.175807,54.883279,,
2017,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.918,0,423.1193069,423.1193069,1488.588631,0.035248966,2.350000014,24.175807,54.883279,,
2018,Gastiloniu_miskas_361_kv,LTU98,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.60006466,0,0.92,0,423.1193069,423.1193069,1488.588631,0.035248966,3.383333365,24.175807,54.883279,,
2011,Gastiloniu_miskas_365_kv_B,LTU102,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.50039158,0,0.99,0,839.247806,839.247806,1692.77169,0.017624483,0.450000008,24.171244,54.880384,,
2012,Gastiloniu_miskas_365_kv_B,LTU102,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.50039158,0,0.99,0,839.247806,839.247806,1692.77169,0.017624483,0.450000008,24.171244,54.880384,,
2013,Gastiloniu_miskas_365_kv_B,LTU102,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.50039158,0,0.99,0,839.247806,839.247806,1692.77169,0.017624483,0.083333333,24.171244,54.880384,,
2014,Gastiloniu_miskas_365_kv_B,LTU102,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.50039158,0,0.99,0,839.247806,839.247806,1692.77169,0.017624483,0.416666667,24.171244,54.880384,,
2011,Gastiloniu_miskas_360_kv,LTU97,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.43040188,0,1,0,613.115018,613.115018,1719.442558,0,0.471428582,24.166521,54.88385,,
2012,Gastiloniu_miskas_360_kv,LTU97,Lithuania,,,,1,5,5,0,5,unknown,#VALUE!,83.43040188,0,1,0,613.115018,613.115018,1719.442558,0,0.471428582,24.166521,54.88385,,
2013,Gastiloniu_miskas_360_kv,LTU97,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.43040188,0,1,0,613.115018,613.115018,1719.442558,0,0.142857143,24.166521,54.88385,,
2014,Gastiloniu_miskas_360_kv,LTU97,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.43040188,0,1,0,613.115018,613.115018,1719.442558,0,0.514285718,24.166521,54.88385,,
2015,Gastiloniu_miskas_360_kv,LTU97,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.43040188,0,1,0,613.115018,613.115018,1719.442558,0,0.528571427,24.166521,54.88385,,
2016,Gastiloniu_miskas_360_kv,LTU97,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.43040188,0,1,0,613.115018,613.115018,1719.442558,0,0.242857141,24.166521,54.88385,,
2011,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0.333333333,24.16814,54.872077,,
2012,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0.333333333,24.16814,54.872077,,
2013,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0,24.16814,54.872077,,
2014,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0.333333333,24.16814,54.872077,,
2015,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0.25,24.16814,54.872077,,
2016,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0.083333333,24.16814,54.872077,,
2017,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0.25,24.16814,54.872077,,
2018,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.644,0,1760.954956,1760.954956,1851.464868,0,0.25,24.16814,54.872077,,
2019,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.643,0,1760.954956,1760.954956,1851.464868,0,0.166666667,24.16814,54.872077,,
2020,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.645,0,1760.954956,1760.954956,1851.464868,0,0,24.16814,54.872077,,
2021,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.642,0,1760.954956,1760.954956,1851.464868,0,0,24.16814,54.872077,,
2022,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.41046226,0,0.64,0,1760.954956,1760.954956,1851.464868,0,0.25,24.16814,54.872077,,
2023,Gastiloniu_miskas_367_kv,LTU105,Lithuania,,,,1,unknown,unknown,#VALUE!,3,unknown,#VALUE!,83.41046226,0,0.634,0,1760.954956,1760.954956,1851.464868,0,0.5,24.16814,54.872077,,
2013,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.717,0,1785.158452,2055.596573,1785.158452,0.865616303,0.214285714,24.153,54.873229,,
2014,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.717,0,1785.158452,2055.596573,1785.158452,0.865616303,0.5,24.153,54.873229,,
2015,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,1,3,unknown,1,2,unknown,#VALUE!,83.30214427,0,0.717,0,1785.158452,2055.596573,1785.158452,0.865616303,0.357142857,24.153,54.873229,,
2016,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.717,0,1785.158452,2055.596573,1785.158452,0.865616303,0,24.153,54.873229,,
2017,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.717,0,1785.158452,2055.596573,1785.158452,0.865616303,0.357142857,24.153,54.873229,,
2018,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.719,0,1785.158452,2055.596573,1785.158452,0.865616303,0.357142857,24.153,54.873229,,
2019,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.717,0,1785.158452,2055.596573,1785.158452,0.865616303,0.385714293,24.153,54.873229,,
2020,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.722,0,1785.158452,2055.596573,1785.158452,0.865616303,0,24.153,54.873229,,
2021,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.718,0,1785.158452,2055.596573,1785.158452,0.865616303,0.214285714,24.153,54.873229,,
2022,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.717,0,1785.158452,2055.596573,1785.158452,0.865616303,0.357142857,24.153,54.873229,,
2023,Gastiloniu_miskas_362_kv_E,LTU101,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.30214427,0,0.711,0,1785.158452,2055.596573,1785.158452,0.865616303,0.528571435,24.153,54.873229,,
2011,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.25,24.156431,54.881985,,
2012,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.25,24.156431,54.881985,,
2013,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.25,24.156431,54.881985,,
2014,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.5,24.156431,54.881985,,
2015,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.533333331,24.156431,54.881985,,
2016,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.166666667,24.156431,54.881985,,
2017,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.583333333,24.156431,54.881985,,
2018,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.849,0,1096.448946,1096.448946,1915.601883,2.42701198,0.550000002,24.156431,54.881985,,
2019,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.85,0,1096.448946,1096.448946,1915.601883,2.42701198,0.616666675,24.156431,54.881985,,
2020,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.183333337,24.156431,54.881985,,
2021,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.853,0,1096.448946,1096.448946,1915.601883,2.42701198,0.550000012,24.156431,54.881985,,
2022,Gastiloniu_miskas_358_kv_B,LTU96,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28984458,0,0.852,0,1096.448946,1096.448946,1915.601883,2.42701198,0.550000012,24.156431,54.881985,,
2011,Gastiloniu_miskas_362_kv_C,LTU99,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28793996,0,0.78,0,1708.138774,1964.989496,1708.138774,4.024315544,0.25,24.151634,54.874579,,
2012,Gastiloniu_miskas_362_kv_C,LTU99,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28793996,0,0.78,0,1708.138774,1964.989496,1708.138774,4.024315544,0.25,24.151634,54.874579,,
2013,Gastiloniu_miskas_362_kv_C,LTU99,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28793996,0,0.78,0,1708.138774,1964.989496,1708.138774,4.024315544,0.166666667,24.151634,54.874579,,
2014,Gastiloniu_miskas_362_kv_C,LTU99,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28793996,0,0.78,0,1708.138774,1964.989496,1708.138774,4.024315544,0.5,24.151634,54.874579,,
2015,Gastiloniu_miskas_362_kv_C,LTU99,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28793996,0,0.78,0,1708.138774,1964.989496,1708.138774,4.024315544,0.333333333,24.151634,54.874579,,
2016,Gastiloniu_miskas_362_kv_C,LTU99,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28793996,0,0.78,0,1708.138774,1964.989496,1708.138774,4.024315544,0,24.151634,54.874579,,
2017,Gastiloniu_miskas_362_kv_C,LTU99,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,83.28793996,0,0.78,0,1708.138774,1964.989496,1708.138774,4.024315544,0.416666667,24.151634,54.874579,,
